time,open,high,low,close,volume,ema14,ema34,ema55,ema89,ema100,ema200,ema610,donchian_up,donchian_mid,donchian_down,rsi
1698212700000,0.6239,0.627,0.6237,0.6267,209640,0,0,0,0,0,0,0,,,,0
1698213600000,0.6266,0.6341,0.6266,0.6334,547760,0,0,0,0,0,0,0,,,,0
1698214500000,0.6335,0.6372,0.6334,0.6368,350565,0,0,0,0,0,0,0,,,,0
1698215400000,0.6368,0.6383,0.6361,0.6368,318441,0,0,0,0,0,0,0,,,,0
1698216300000,0.6368,0.6372,0.634,0.6353,224931,0,0,0,0,0,0,0,,,,0
1698217200000,0.6353,0.6367,0.633,0.6334,240882,0,0,0,0,0,0,0,,,,0
1698218100000,0.6334,0.6339,0.6233,0.6237,546202,0,0,0,0,0,0,0,,,,0
1698219000000,0.6238,0.6264,0.6194,0.6204,1027204,0,0,0,0,0,0,0,,,,0
1698219900000,0.6205,0.6218,0.6113,0.6211,1233286,0,0,0,0,0,0,0,,,,0
1698220800000,0.6211,0.623,0.6148,0.6159,649437,0,0,0,0,0,0,0,,,,0
1698221700000,0.6159,0.6203,0.6144,0.6194,462010,0,0,0,0,0,0,0,,,,0
1698222600000,0.6194,0.625,0.6192,0.6236,410226,0,0,0,0,0,0,0,,,,0
1698223500000,0.6237,0.6238,0.6212,0.6218,374250,0,0,0,0,0,0,0,,,,0
1698224400000,0.6218,0.6244,0.6193,0.6237,498786,0.6265714285714284,0,0,0,0,0,0,,,,0
1698225300000,0.6237,0.6281,0.6227,0.6271,628348,0.6266419047619046,0,0,0,0,0,0,,,,50.42372881355928
1698226200000,0.6271,0.6275,0.6237,0.6252,404783,0.6264496507936507,0,0,0,0,0,0,,,,48.328647297719414
1698227100000,0.6251,0.6252,0.6223,0.6225,165601,0.6259230306878306,0,0,0,0,0,0,,,,45.4393456698073
1698228000000,0.6224,0.623,0.6204,0.6222,198390,0.6254266265961199,0,0,0,0,0,0,,,,45.116595309957276
1698228900000,0.6222,0.6242,0.6212,0.6235,299936,0.6251697430499706,0,0,0,0,0,0,,,,46.87743760971859
1698229800000,0.6234,0.6256,0.6229,0.6245,279000,0.6250804439766412,0,0,0,0,0,0,,,,48.252770569663724
1698230700000,0.6246,0.6256,0.6237,0.6255,176383,0.6251363847797557,0,0,0,0,0,0,,,,49.656416732900716
1698231600000,0.6257,0.6272,0.6229,0.6263,272062,0.6252915334757884,0,0,0,0,0,0,,,,50.80604374972472
1698232500000,0.6263,0.6281,0.6241,0.6242,450304,0.6251459956790166,0,0,0,0,0,0,,,,47.72516726154666
1698233400000,0.6241,0.6258,0.6224,0.6226,369694,0.624806529588481,0,0,0,0,0,0,,,,45.46311085281527
1698234300000,0.6226,0.6233,0.6218,0.6228,137938,0.6245389923100169,0,0,0,0,0,0,,,,45.808874111058984
1698235200000,0.6229,0.6272,0.6224,0.6272,317519,0.6248937933353479,0,0,0,0,0,0,,,,52.8858427599714
1698236100000,0.6273,0.6283,0.6242,0.6242,344689,0.6248012875573015,0,0,0,0,0,0,,,,48.25835894411428
1698237000000,0.6242,0.6256,0.6225,0.6244,204666,0.6247477825496612,0,0,0,0,0,0,,,,48.58137149086764
1698237900000,0.6244,0.6254,0.6233,0.6248,131517,0.6247547448763731,0,0,0,0,0,0,,,,49.263574667899626
1698238800000,0.6248,0.6296,0.6241,0.6294,280853,0.62537411222619,0,0,0,0,0,0,,,,56.42377788993921
1698239700000,0.6295,0.6345,0.629,0.6314,536926,0.6261775639293646,0,0,0,0,0,0,,,,59.12476547548706
1698240600000,0.6312,0.6337,0.6276,0.6281,657018,0.6264338887387827,0,0,0,0,0,0,,,,53.2588789125205
1698241500000,0.628,0.6322,0.6275,0.6315,301676,0.6271093702402784,0,0,0,0,0,0,,,,57.893969153684935
1698242400000,0.6316,0.6331,0.6299,0.6327,566502,0.6278547875415745,0.6262382352941176,0,0,0,0,0,,,,59.42337247805527
1698243300000,0.6326,0.6346,0.6307,0.6326,366431,0.6284874825360313,0.6266017647058824,0,0,0,0,0,,,,59.23029790645785
1698244200000,0.6325,0.6367,0.6316,0.636,373355,0.6294891515312271,0.6271388067226891,0,0,0,0,0,,,,63.56491885488962
1698245100000,0.6359,0.6377,0.6347,0.637,400114,0.6304905979937302,0.6277023034813926,0,0,0,0,0,,,,64.75192973407148
1698246000000,0.6369,0.6397,0.6338,0.6393,997021,0.6316651849278995,0.6283650289967415,0,0,0,0,0,,,,67.38389175103254
1698246900000,0.6393,0.641,0.6364,0.6402,644472,0.6328031602708462,0.6290413130540705,0,0,0,0,0,,,,68.37888649769967
1698247800000,0.6402,0.6436,0.6366,0.6401,1391108,0.6337760722347333,0.6296732380224094,0,0,0,0,0,,,,68.13018957054761
1698248700000,0.6402,0.6441,0.6395,0.6398,699096,0.6345792626034356,0.6302519101354146,0,0,0,0,0,,,,67.33892717586485
1698249600000,0.6399,0.6445,0.6384,0.6438,1019514,0.6358086942563108,0.6310260866991052,0,0,0,0,0,,,,72.00714896823213
